datetime,impact,event
2023-01-06T13:30:00Z,high,NFP
2023-01-12T13:30:00Z,high,CPI
2023-02-01T19:00:00Z,high,FOMC
2023-02-03T13:30:00Z,high,NFP
2023-02-14T13:30:00Z,high,CPI
2023-03-10T13:30:00Z,high,NFP
2023-03-14T12:30:00Z,high,CPI
2023-03-22T18:00:00Z,high,FOMC
2023-04-07T12:30:00Z,high,NFP
2023-04-12T12:30:00Z,high,CPI
2023-05-03T18:00:00Z,high,FOMC
2023-05-05T12:30:00Z,high,NFP
2023-05-10T12:30:00Z,high,CPI
2023-06-02T12:30:00Z,high,NFP
2023-06-13T12:30:00Z,high,CPI
2023-06-14T18:00:00Z,high,FOMC
2023-07-07T12:30:00Z,high,NFP
2023-07-12T12:30:00Z,high,CPI
2023-07-26T18:00:00Z,high,FOMC
2023-08-04T12:30:00Z,high,NFP
2023-08-10T12:30:00Z,high,CPI
2023-09-01T12:30:00Z,high,NFP
2023-09-13T12:30:00Z,high,CPI
2023-09-20T18:00:00Z,high,FOMC
2023-10-06T12:30:00Z,high,NFP
2023-10-12T12:30:00Z,high,CPI
2023-11-01T18:00:00Z,high,FOMC
2023-11-03T12:30:00Z,high,NFP
2023-11-14T13:30:00Z,high,CPI
2023-12-08T13:30:00Z,high,NFP
2023-12-12T13:30:00Z,high,CPI
2023-12-13T19:00:00Z,high,FOMC
2024-01-05T13:30:00Z,high,NFP
2024-01-11T13:30:00Z,high,CPI
2024-01-31T19:00:00Z,high,FOMC
2024-02-02T13:30:00Z,high,NFP
2024-02-13T13:30:00Z,high,CPI
2024-03-08T13:30:00Z,high,NFP
2024-03-12T12:30:00Z,high,CPI
2024-03-20T18:00:00Z,high,FOMC
2024-04-05T12:30:00Z,high,NFP
2024-04-10T12:30:00Z,high,CPI
2024-05-01T18:00:00Z,high,FOMC
2024-05-03T12:30:00Z,high,NFP
2024-05-15T12:30:00Z,high,CPI
2024-06-07T12:30:00Z,high,NFP
2024-06-12T12:30:00Z,high,CPI
2024-06-12T18:00:00Z,high,FOMC
2024-07-05T12:30:00Z,high,NFP
2024-07-11T12:30:00Z,high,CPI
2024-07-31T18:00:00Z,high,FOMC
2024-08-02T12:30:00Z,high,NFP
2024-08-14T12:30:00Z,high,CPI
2024-09-06T12:30:00Z,high,NFP
2024-09-11T12:30:00Z,high,CPI
2024-09-18T18:00:00Z,high,FOMC
2024-10-04T12:30:00Z,high,NFP
2024-10-10T12:30:00Z,high,CPI
2024-11-01T12:30:00Z,high,NFP
2024-11-07T19:00:00Z,high,FOMC
2024-11-13T13:30:00Z,high,CPI
2024-12-06T13:30:00Z,high,NFP
2024-12-11T13:30:00Z,high,CPI
2024-12-18T19:00:00Z,high,FOMC
2025-01-10T13:30:00Z,high,NFP
2025-01-15T13:30:00Z,high,CPI
2025-01-29T19:00:00Z,high,FOMC
2025-02-07T13:30:00Z,high,NFP
2025-02-12T13:30:00Z,high,CPI
2025-03-07T13:30:00Z,high,NFP
2025-03-12T12:30:00Z,high,CPI
2025-03-19T18:00:00Z,high,FOMC
2025-04-04T12:30:00Z,high,NFP
2025-04-10T12:30:00Z,high,CPI
2025-05-02T12:30:00Z,high,NFP
2025-05-07T18:00:00Z,high,FOMC
2025-05-13T12:30:00Z,high,CPI
2025-06-06T12:30:00Z,high,NFP
2025-06-11T12:30:00Z,high,CPI
2025-06-18T18:00:00Z,high,FOMC
2025-07-03T12:30:00Z,high,NFP
2025-07-15T12:30:00Z,high,CPI
2025-07-30T18:00:00Z,high,FOMC
2025-08-01T12:30:00Z,high,NFP
2025-08-12T12:30:00Z,high,CPI
2025-09-05T12:30:00Z,high,NFP
2025-09-11T12:30:00Z,high,CPI
2025-09-17T18:00:00Z,high,FOMC
2025-10-24T12:30:00Z,high,CPI
2025-10-29T18:00:00Z,high,FOMC
2025-11-20T13:30:00Z,high,NFP
2025-12-10T19:00:00Z,high,FOMC
2025-12-16T13:30:00Z,high,NFP
2025-12-18T13:30:00Z,high,CPI
2026-01-09T13:30:00Z,high,NFP
2026-01-13T13:30:00Z,high,CPI
2026-01-28T19:00:00Z,high,FOMC
2026-03-18T18:00:00Z,high,FOMC
2026-04-29T18:00:00Z,high,FOMC
2026-06-17T18:00:00Z,high,FOMC
2026-07-29T18:00:00Z,high,FOMC
2026-09-16T18:00:00Z,high,FOMC
2026-10-28T18:00:00Z,high,FOMC
2026-12-09T19:00:00Z,high,FOMC
