date,P15,P16,P_prev16,r_sofar,r_trade,sigma_4h,sigma_day,sigma_1h,z,dir,contracts_raw,contracts,cap_bound,rounded_to_zero,is_trade,gross,slippage,fees,net,test_year,net_stress
2013-07-01,1613.75,1609.0,1597.25,0.010277262678399627,-0.002947795168468996,0.004064453289470415,0.009531987881999106,0.0020322266447352073,1.0781867125332745,1.0,46.0,40.0,True,False,True,-950.0,100.0,40.0,-1090.0,2013-2014,-1190.0
2013-07-02,1604.75,1606.75,1609.0,-0.002644886800495703,0.0012455240595079852,0.0038571760678486437,0.009045879708525523,0.0019285880339243219,-0.2923858027874239,0.0,49.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-05,1622.25,1625.25,1606.75,0.009600569249882293,0.0018475755833003565,0.0039484042412316935,0.009259828739613403,0.0019742021206158467,1.0367977119070473,1.0,47.0,40.0,True,False,True,600.0,100.0,40.0,460.0,2013-2014,360.0
2013-07-08,1636.0,1634.25,1625.25,0.006592588078114217,-0.0010702546698533764,0.003680606508642204,0.008631787386922043,0.001840303254321102,0.7637570044997399,0.0,50.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-09,1646.0,1646.25,1634.25,0.007164118744176068,0.000151871820475743,0.002938610884390457,0.006891653402066833,0.0014693054421952285,1.0395355549986773,1.0,63.0,40.0,True,False,True,50.0,100.0,40.0,-90.0,2013-2014,-190.0
2013-07-10,1644.0,1646.75,1646.25,-0.001367677441365548,0.001671351904677059,0.0028596758025573113,0.0067065342261502636,0.0014298379012786556,-0.20393207508472416,0.0,64.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-11,1668.25,1669.75,1646.75,0.012971524262913545,0.000898741822029424,0.0028949373739236887,0.0067892299411767615,0.0014474686869618443,1.9106031722745305,1.0,63.0,40.0,True,False,True,300.0,100.0,40.0,160.0,2013-2014,60.0
2013-07-12,1670.0,1672.5,1669.75,0.00014971180505542292,0.001495886591582708,0.0022312681719600823,0.0052327876990769925,0.0011156340859800411,0.028610334235770824,0.0,81.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-15,1678.5,1677.5,1672.5,0.003581024417706021,-0.0005959475742527447,0.0018063287283370001,0.00423621636740684,0.0009031643641685001,0.8453355794709115,0.0,100.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-16,1670.0,1671.25,1677.5,-0.004480963435036092,0.0007482230053521344,0.0019317920705243343,0.004530453986144636,0.0009658960352621672,-0.9890760283053532,0.0,94.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-17,1674.5,1675.0,1671.25,0.001942763818106395,0.0002985520249074603,0.0021495025613794505,0.005041030344837502,0.0010747512806897252,0.38539022485670443,0.0,84.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-18,1686.0,1684.75,1675.0,0.006545694302634002,-0.0007416747354744272,0.001776708389320164,0.0041667505149389,0.000888354194660082,1.5709350197872325,1.0,101.0,40.0,True,False,True,-250.0,100.0,40.0,-390.0,2013-2014,-490.0
2013-07-19,1685.0,1687.5,1684.75,0.000148378960135762,0.0014825799602228961,0.0018775328161858337,0.00440320475531185,0.0009387664080929168,0.033697946923036806,0.0,96.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-22,1691.5,1690.75,1687.5,0.0023675654740782635,-0.00044349176571382054,0.0020014829855063733,0.004693893669118771,0.0010007414927531866,0.5043926515963769,0.0,89.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-23,1691.25,1688.25,1690.75,0.0002956830299485006,-0.0017754110300465323,0.0019439170948864397,0.004558889688822767,0.0009719585474432199,0.0648585620909933,0.0,92.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-24,1680.75,1681.0,1688.25,-0.004452367105805261,0.00014873205946949,0.0018487022767516952,0.0043355911470488034,0.0009243511383758476,-1.0269342645087616,-1.0,97.0,40.0,True,False,True,-50.0,100.0,40.0,-190.0,2013-2014,-290.0
2013-07-25,1680.25,1685.0,1681.0,-0.00044626255854032755,0.0028229719363867863,0.0022186136503180185,0.005203110215205511,0.0011093068251590093,-0.08576842313202877,0.0,81.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-26,1682.5,1687.0,1685.0,-0.001484781267579225,0.002671021027085421,0.0022623734470997377,0.005305736035441334,0.0011311867235498688,-0.2798445413908949,0.0,79.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-29,1682.5,1681.25,1687.0,-0.002671021027085421,-0.0007432181687336305,0.002255022296370916,0.005288496058825682,0.001127511148185458,-0.5050624974236106,0.0,80.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-30,1680.25,1681.25,1681.25,-0.0005949725000739415,0.0005949725000739164,0.0023678698430460447,0.005553147014516899,0.0011839349215230224,-0.10714149985919319,0.0,76.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-07-31,1694.0,1681.75,1681.25,0.007555031861850451,-0.007257678306284528,0.0022522621844449533,0.0052820230225874764,0.0011261310922224767,1.4303292184723397,1.0,79.0,40.0,True,False,True,-2450.0,100.0,40.0,-2590.0,2013-2014,-2690.0
2013-08-01,1701.5,1702.0,1681.75,0.0116752970352452,0.00029381519235897077,0.0018364580004315832,0.004306875773739061,0.0009182290002157916,2.7108506603405385,1.0,97.0,40.0,True,False,True,100.0,100.0,40.0,-40.0,2013-2014,-140.0
2013-08-02,1701.75,1704.5,1702.0,-0.00014689680525859717,0.0016146792498970377,0.0017069027870240418,0.00400304186637205,0.0008534513935120209,-0.036696295008208216,0.0,104.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-08-05,1702.0,1702.5,1704.5,-0.0014677824446383716,0.0002937288903478923,0.0014965215868982076,0.0035096542180516606,0.0007482607934491038,-0.4182128362073208,0.0,119.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-08-06,1692.5,1693.0,1702.5,-0.005891033237237419,0.0002953773467053666,0.0015278742815635158,0.0035831828046372074,0.0007639371407817579,-1.6440783399645384,-1.0,117.0,40.0,True,False,True,-100.0,100.0,40.0,-240.0,2013-2014,-340.0
2013-08-07,1687.25,1687.5,1693.0,-0.0034021185096194634,0.000148159123169084,0.001534094110001386,0.0035977695953013995,0.000767047055000693,-0.9456187839439603,0.0,117.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-08-08,1695.5,1693.0,1687.5,0.004729538819008386,-0.0014755794325580294,0.001409940191769004,0.0033066028479409025,0.000704970095884502,1.4303316837562088,1.0,126.0,40.0,True,False,True,-500.0,100.0,40.0,-640.0,2013-2014,-740.0
2013-08-09,1689.75,1688.5,1693.0,-0.0019215141526718344,-0.0007400281548411589,0.0016551846143322106,0.003881752000240533,0.0008275923071661053,-0.4950120854069935,0.0,108.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-08-12,1685.25,1686.25,1688.5,-0.0019266400920741568,0.0005932077884175004,0.0021305718469980216,0.004996633884297817,0.0010652859234990108,-0.38558760491312444,0.0,84.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-08-13,1692.0,1691.25,1686.25,0.0034041326442028653,-0.00044336068117078705,0.002273094442550855,0.005330878998453793,0.0011365472212754276,0.6385687323216724,0.0,79.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-08-14,1684.75,1682.75,1691.25,-0.0038507156586713633,-0.001187824935503883,0.0023674955268383592,0.005552269165197057,0.0011837477634191796,-0.693539081788139,0.0,76.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-08-15,1660.0,1658.25,1682.75,-0.013611757540233527,-0.00105477294492354,0.002986923897701108,0.007004957461585252,0.001493461948850554,-1.9431606280094567,-1.0,61.0,40.0,True,False,True,350.0,100.0,40.0,210.0,2013-2014,110.0
2013-08-16,1655.75,1653.5,1658.25,-0.001508751040576539,-0.0013598249432413576,0.002930759830283463,0.006873241048109497,0.0014653799151417314,-0.2195108581258801,0.0,62.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-08-19,1648.75,1642.5,1653.5,-0.0028768283903230648,-0.0037979536727587473,0.002719881625682545,0.006378687820977789,0.0013599408128412724,-0.451006299581232,0.0,67.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
2013-08-20,1653.75,1650.5,1642.5,0.006825965070399891,-0.001967164135917719,0.0028564098389125343,0.006698874862475028,0.0014282049194562672,1.0189718737152087,1.0,64.0,40.0,True,False,True,-650.0,100.0,40.0,-790.0,2013-2014,-890.0
2013-08-21,1651.75,1640.25,1650.5,0.0007570596167472703,-0.006986662685008215,0.002784609438120075,0.006530487996755732,0.0013923047190600374,0.11592695938241802,0.0,66.0,40.0,False,False,False,0.0,0.0,0.0,0.0,2013-2014,0.0
