test_start,test_end,k,L,train_sharpe,test_sharpe,test_trades,test_net_pnl
2013-07-01,2014-06-30,1.0,30,-0.5052154010360357,-0.3472749903750995,68,-1998.0
2014-07-01,2015-06-30,0.75,60,0.06221256515983207,-0.4968954970937329,97,-4462.0
2015-07-01,2016-06-30,0.75,18,0.004046829246394231,-0.566628303317121,117,-6842.5
2016-07-01,2017-06-30,0.75,18,-0.3469711196039816,-3.1549174761893406,97,-23814.25
2017-07-01,2018-06-30,1.0,30,-1.045952625121399,-0.17328245431652123,73,-2145.25
2018-07-01,2019-06-30,1.0,18,-0.546182175867044,-0.43579109568131896,77,-4918.5
2019-07-01,2020-06-30,1.0,60,-0.4119816647581277,-0.8842510264429251,77,-10480.5
2020-07-01,2021-06-30,0.75,60,-0.262705342764353,-2.446381312785156,94,-32954.0
2021-07-01,2022-06-30,0.5,60,-0.8265093185700952,0.9324918954552556,140,18703.0
2022-07-01,2023-06-30,0.5,30,-0.03155195809711256,1.5773681091803566,130,23906.5
2023-07-01,2024-06-30,0.5,30,0.3775035083829386,-0.7418226186079636,131,-13253.75
