date,net,rounded_to_zero,n_signals,test_year,net_stress
2013-07-01,-565.25,0,1,2013-2014,-612.75
2013-07-02,-845.0,0,1,2013-2014,-895.0
2013-07-05,0.0,0,0,2013-2014,0.0
2013-07-08,0.0,0,0,2013-2014,0.0
2013-07-09,0.0,0,0,2013-2014,0.0
2013-07-10,0.0,0,0,2013-2014,0.0
2013-07-11,0.0,0,0,2013-2014,0.0
2013-07-12,0.0,0,0,2013-2014,0.0
2013-07-15,0.0,0,0,2013-2014,0.0
2013-07-16,0.0,0,0,2013-2014,0.0
2013-07-17,0.0,0,0,2013-2014,0.0
2013-07-18,-690.0,0,1,2013-2014,-790.0
2013-07-19,0.0,0,0,2013-2014,0.0
2013-07-22,0.0,0,0,2013-2014,0.0
2013-07-23,0.0,0,0,2013-2014,0.0
2013-07-24,-490.0,0,1,2013-2014,-590.0
2013-07-25,0.0,0,0,2013-2014,0.0
2013-07-26,0.0,0,0,2013-2014,0.0
2013-07-29,0.0,0,0,2013-2014,0.0
2013-07-30,0.0,0,0,2013-2014,0.0
2013-07-31,-1916.25,0,1,2013-2014,-2003.75
2013-08-01,0.0,0,0,2013-2014,0.0
2013-08-02,0.0,0,0,2013-2014,0.0
2013-08-05,0.0,0,0,2013-2014,0.0
2013-08-06,-840.0,0,1,2013-2014,-940.0
2013-08-07,0.0,0,0,2013-2014,0.0
2013-08-08,0.0,0,0,2013-2014,0.0
2013-08-09,0.0,0,0,2013-2014,0.0
2013-08-12,0.0,0,0,2013-2014,0.0
2013-08-13,0.0,0,0,2013-2014,0.0
2013-08-14,0.0,0,0,2013-2014,0.0
2013-08-15,287.5,0,1,2013-2014,225.0
2013-08-16,0.0,0,0,2013-2014,0.0
2013-08-19,0.0,0,0,2013-2014,0.0
2013-08-20,-792.0,0,1,2013-2014,-872.0
2013-08-21,0.0,0,0,2013-2014,0.0
2013-08-22,681.75,0,1,2013-2014,614.25
2013-08-23,0.0,0,0,2013-2014,0.0
2013-08-26,0.0,0,0,2013-2014,0.0
2013-08-27,0.0,0,0,2013-2014,0.0
2013-08-28,-592.0,0,1,2013-2014,-672.0
2013-08-29,-1266.5,0,1,2013-2014,-1351.5
2013-08-30,0.0,0,0,2013-2014,0.0
