date,entry_t,exit_t,dir,contracts,entry_px,exit_px,gross,slippage,fees,net,exit_reason,cap_bound,test_year
2013-07-01,10,16,1.0,19.0,1614.25,1609.0,-498.75,47.5,19.0,-565.25,close,False,2013-2014
2013-07-02,10,16,1.0,20.0,1614.5,1606.75,-775.0,50.0,20.0,-845.0,close,False,2013-2014
2013-07-18,11,16,1.0,40.0,1687.5,1684.75,-550.0,100.0,40.0,-690.0,close,True,2013-2014
2013-07-24,14,16,-1.0,40.0,1679.25,1681.0,-350.0,100.0,40.0,-490.0,close,True,2013-2014
2013-07-31,11,16,1.0,35.0,1692.0,1681.75,-1793.75,87.5,35.0,-1916.25,close,False,2013-2014
2013-08-06,11,16,-1.0,40.0,1689.5,1693.0,-700.0,100.0,40.0,-840.0,close,True,2013-2014
2013-08-15,10,16,-1.0,25.0,1661.25,1658.25,375.0,62.5,25.0,287.5,close,False,2013-2014
2013-08-20,12,16,1.0,32.0,1654.75,1650.5,-680.0,80.0,32.0,-792.0,close,False,2013-2014
2013-08-22,10,16,1.0,27.0,1648.5,1654.25,776.25,67.5,27.0,681.75,close,False,2013-2014
2013-08-28,12,16,1.0,32.0,1636.5,1633.5,-480.0,80.0,32.0,-592.0,close,False,2013-2014
2013-08-29,11,16,1.0,34.0,1642.5,1635.75,-1147.5,85.0,34.0,-1266.5,close,False,2013-2014
2013-09-04,11,16,1.0,24.0,1647.5,1651.75,510.0,60.0,24.0,426.0,close,False,2013-2014
2013-09-05,10,16,1.0,23.0,1657.25,1653.25,-460.0,57.5,23.0,-540.5,close,False,2013-2014
2013-09-06,10,16,-1.0,20.0,1645.75,1653.75,-800.0,50.0,20.0,-870.0,close,False,2013-2014
2013-09-09,10,16,1.0,20.0,1663.75,1670.5,675.0,50.0,20.0,605.0,close,False,2013-2014
2013-09-18,15,16,1.0,40.0,1722.5,1718.75,-750.0,100.0,40.0,-890.0,close,True,2013-2014
2013-09-20,12,16,-1.0,26.0,1708.25,1702.75,715.0,65.0,26.0,624.0,close,False,2013-2014
2013-09-23,11,16,-1.0,24.0,1692.0,1695.25,-390.0,60.0,24.0,-474.0,close,False,2013-2014
2013-09-26,10,16,1.0,34.0,1694.75,1692.25,-425.0,85.0,34.0,-544.0,close,False,2013-2014
2013-10-01,11,16,1.0,32.0,1687.25,1688.5,200.0,80.0,32.0,88.0,close,False,2013-2014
2013-10-03,10,16,-1.0,27.0,1678.5,1671.75,911.25,67.5,27.0,816.75,close,False,2013-2014
2013-10-04,10,16,1.0,25.0,1677.0,1683.75,843.75,62.5,25.0,756.25,close,False,2013-2014
2013-10-08,12,16,-1.0,28.0,1658.5,1649.75,1225.0,70.0,28.0,1127.0,close,False,2013-2014
2013-10-10,10,16,1.0,20.0,1673.25,1686.5,1325.0,50.0,20.0,1255.0,close,False,2013-2014
2013-10-11,13,16,1.0,29.0,1696.75,1697.5,108.75,72.5,29.0,7.25,close,False,2013-2014
2013-10-16,10,16,1.0,23.0,1711.75,1716.0,488.75,57.5,23.0,408.25,close,False,2013-2014
2013-10-17,13,16,1.0,34.0,1724.75,1727.25,425.0,85.0,34.0,306.0,close,False,2013-2014
2013-10-22,10,16,1.0,28.0,1749.0,1749.5,70.0,70.0,28.0,-28.0,close,False,2013-2014
2013-10-23,10,16,-1.0,32.0,1737.5,1741.25,-600.0,80.0,32.0,-712.0,close,False,2013-2014
2013-11-07,11,16,-1.0,34.0,1757.75,1744.5,2252.5,85.0,34.0,2133.5,close,False,2013-2014
2013-11-08,11,16,1.0,27.0,1756.75,1767.5,1451.25,67.5,27.0,1356.75,close,False,2013-2014
2013-12-11,10,16,-1.0,33.0,1797.25,1781.0,2681.25,82.5,33.0,2565.75,close,False,2013-2014
2013-12-17,11,16,-1.0,27.0,1772.75,1774.25,-202.5,67.5,27.0,-297.0,close,False,2013-2014
2013-12-18,15,16,1.0,40.0,1793.25,1805.25,2400.0,100.0,40.0,2260.0,close,True,2013-2014
2013-12-20,10,16,1.0,16.0,1811.0,1813.25,180.0,40.0,16.0,124.0,close,False,2013-2014
2014-01-02,10,16,-1.0,35.0,1833.0,1826.25,1181.25,87.5,35.0,1058.75,close,False,2013-2014
2014-01-07,10,16,1.0,31.0,1832.0,1831.25,-116.25,77.5,31.0,-224.75,close,False,2013-2014
2014-01-13,13,16,-1.0,40.0,1826.0,1813.5,2500.0,100.0,40.0,2360.0,close,True,2013-2014
2014-01-14,11,16,1.0,29.0,1825.0,1833.25,1196.25,72.5,29.0,1094.75,close,False,2013-2014
2014-01-23,10,16,-1.0,34.0,1824.0,1823.5,85.0,85.0,34.0,-34.0,close,False,2013-2014
2014-01-24,11,16,-1.0,26.0,1802.25,1784.75,2275.0,65.0,26.0,2184.0,close,False,2013-2014
2014-01-27,12,16,-1.0,25.0,1774.25,1775.75,-187.5,62.5,25.0,-275.0,close,False,2013-2014
2014-01-28,10,16,1.0,20.0,1784.25,1786.0,175.0,50.0,20.0,105.0,close,False,2013-2014
2014-01-30,13,16,1.0,25.0,1792.5,1788.75,-468.75,62.5,25.0,-556.25,close,False,2013-2014
2014-02-03,11,16,-1.0,16.0,1759.75,1737.0,1820.0,40.0,16.0,1764.0,close,False,2013-2014
2014-02-06,10,16,1.0,16.0,1759.0,1769.25,820.0,40.0,16.0,764.0,close,False,2013-2014
2014-02-07,14,16,1.0,28.0,1788.75,1791.75,420.0,70.0,28.0,322.0,close,False,2013-2014
2014-02-11,12,16,1.0,33.0,1809.75,1814.5,783.75,82.5,33.0,668.25,close,False,2013-2014
2014-02-12,10,16,1.0,28.0,1822.75,1816.0,-945.0,70.0,28.0,-1043.0,close,False,2013-2014
2014-02-13,14,16,1.0,40.0,1825.5,1825.5,0.0,100.0,40.0,-140.0,close,True,2013-2014
2014-02-14,14,16,1.0,40.0,1835.25,1835.25,0.0,100.0,40.0,-140.0,close,True,2013-2014
2014-02-20,13,16,1.0,33.0,1836.5,1836.5,0.0,82.5,33.0,-115.5,close,False,2013-2014
2014-02-24,10,16,1.0,25.0,1848.5,1844.75,-468.75,62.5,25.0,-556.25,close,False,2013-2014
2014-02-25,10,16,-1.0,24.0,1839.5,1843.0,-420.0,60.0,24.0,-504.0,close,False,2013-2014
2014-02-28,10,16,1.0,23.0,1858.75,1858.25,-57.5,57.5,23.0,-138.0,close,False,2013-2014
2014-03-13,13,16,-1.0,35.0,1852.25,1847.0,918.75,87.5,35.0,796.25,close,False,2013-2014
2014-03-18,10,16,1.0,19.0,1859.5,1864.75,498.75,47.5,19.0,432.25,close,False,2013-2014
2014-03-20,13,16,1.0,29.0,1864.5,1864.5,0.0,72.5,29.0,-101.5,close,False,2013-2014
2014-03-24,11,16,-1.0,24.0,1848.0,1849.5,-180.0,60.0,24.0,-264.0,close,False,2013-2014
2014-03-28,10,16,1.0,27.0,1854.75,1849.25,-742.5,67.5,27.0,-837.0,close,False,2013-2014
2014-04-04,13,16,-1.0,35.0,1866.75,1859.0,1356.25,87.5,35.0,1233.75,close,False,2013-2014
2014-04-07,12,16,-1.0,27.0,1842.75,1838.25,607.5,67.5,27.0,513.0,close,False,2013-2014
2014-04-10,11,16,-1.0,18.0,1855.25,1825.75,2655.0,45.0,18.0,2592.0,close,False,2013-2014
2014-04-15,10,13,1.0,18.0,1835.0,1810.75,-2182.5,45.0,18.0,-2245.5,flip,False,2013-2014
2014-04-15,13,16,-1.0,26.0,1810.75,1836.75,-3380.0,65.0,26.0,-3471.0,close,False,2013-2014
2014-04-25,11,16,-1.0,34.0,1858.0,1857.75,42.5,85.0,34.0,-76.5,close,False,2013-2014
