date,gross,turnover_cost,borrow_cost,net,held_gross_lev,stitched
2007-07-02,0.0,0.0,0.0,0.0,0.0,False
2007-07-03,0.0,0.0,0.0,0.0,0.0,False
2007-07-05,0.0,0.0,0.0,0.0,0.0,False
2007-07-06,0.0,0.0,0.0,0.0,0.0,False
2007-07-09,0.0,0.0,0.0,0.0,0.0,False
2007-07-10,0.0,0.0,0.0,0.0,0.0,False
2007-07-11,0.0,0.0,0.0,0.0,0.0,False
2007-07-12,0.0,0.0,0.0,0.0,0.0,False
2007-07-13,0.0,0.0,0.0,0.0,0.0,False
2007-07-16,0.0,0.0,0.0,0.0,0.0,False
2007-07-17,0.0,0.0,0.0,0.0,0.0,False
2007-07-18,0.0,0.0,0.0,0.0,0.0,False
2007-07-19,0.0,0.0,0.0,0.0,0.0,False
2007-07-20,0.0,0.0,0.0,0.0,0.0,False
2007-07-23,0.0,0.0,0.0,0.0,0.0,False
2007-07-24,0.0,0.0,0.0,0.0,0.0,False
2007-07-25,0.0,0.0,0.0,0.0,0.0,False
2007-07-26,0.0,0.0,0.0,0.0,0.0,False
2007-07-27,0.0,0.0,0.0,0.0,0.0,False
2007-07-30,0.0,0.0,0.0,0.0,0.0,False
2007-07-31,0.0,0.0,0.0,0.0,0.0,False
2007-08-01,0.0,0.0,0.0,0.0,0.0,False
2007-08-02,0.0,0.0,0.0,0.0,0.0,False
2007-08-03,0.0,0.0,0.0,0.0,0.0,False
2007-08-06,0.0,0.0,0.0,0.0,0.0,False
2007-08-07,0.0,0.0,0.0,0.0,0.0,False
2007-08-08,0.0,0.0,0.0,0.0,0.0,False
2007-08-09,0.0,0.0,0.0,0.0,0.0,False
2007-08-10,0.0,0.0,0.0,0.0,0.0,False
2007-08-13,0.0,0.0,0.0,0.0,0.0,False
2007-08-14,0.0,0.0,0.0,0.0,0.0,False
2007-08-15,0.0,0.0,0.0,0.0,0.0,False
2007-08-16,0.0,0.0,0.0,0.0,0.0,False
2007-08-17,0.0,0.0,0.0,0.0,0.0,False
2007-08-20,0.0,0.0,0.0,0.0,0.0,False
2007-08-21,0.0,0.0,0.0,0.0,0.0,False
2007-08-22,0.0,0.0,0.0,0.0,0.0,False
2007-08-23,0.0,0.0,0.0,0.0,0.0,False
2007-08-24,0.0,0.0,0.0,0.0,0.0,False
2007-08-27,0.0,0.0,0.0,0.0,0.0,False
2007-08-28,0.0,0.0,0.0,0.0,0.0,False
2007-08-29,0.0,0.0,0.0,0.0,0.0,False
2007-08-30,0.0,0.0,0.0,0.0,0.0,False
2007-08-31,0.0,0.0,0.0,0.0,0.0,False
2007-09-04,0.0,0.0,0.0,0.0,0.0,False
2007-09-05,0.0,0.0,0.0,0.0,0.0,False
2007-09-06,0.0,0.0,0.0,0.0,0.0,False
2007-09-07,0.0,0.0,0.0,0.0,0.0,False
2007-09-10,0.0,0.0,0.0,0.0,0.0,False
2007-09-11,0.0,0.0,0.0,0.0,0.0,False
2007-09-12,0.0,0.0,0.0,0.0,0.0,False
2007-09-13,0.0,0.0,0.0,0.0,0.0,False
2007-09-14,0.0,0.0,0.0,0.0,0.0,False
2007-09-17,0.0,0.0,0.0,0.0,0.0,False
2007-09-18,0.0,0.0,0.0,0.0,0.0,False
2007-09-19,0.0,0.0,0.0,0.0,0.0,False
2007-09-20,0.0,0.0,0.0,0.0,0.0,False
2007-09-21,0.0,0.0,0.0,0.0,0.0,False
2007-09-24,0.0,0.0,0.0,0.0,0.0,False
2007-09-25,0.0,0.0,0.0,0.0,0.0,False
2007-09-26,0.0,0.0,0.0,0.0,0.0,False
2007-09-27,0.0,0.0,0.0,0.0,0.0,False
2007-09-28,0.0,0.0,0.0,0.0,0.0,False
2007-10-01,0.0,0.0,0.0,0.0,0.0,False
2007-10-02,0.0,0.0,0.0,0.0,0.0,False
2007-10-03,0.0,0.0,0.0,0.0,0.0,False
2007-10-04,0.0,0.0,0.0,0.0,0.0,False
2007-10-05,0.0,0.0,0.0,0.0,0.0,False
2007-10-08,0.0,0.0,0.0,0.0,0.0,False
2007-10-09,0.0,0.0,0.0,0.0,0.0,False
2007-10-10,0.0,0.0,0.0,0.0,0.0,False
2007-10-11,0.0,0.0,0.0,0.0,0.0,False
2007-10-12,0.0,0.0,0.0,0.0,0.0,False
2007-10-15,0.0,0.0,0.0,0.0,0.0,False
2007-10-16,0.0,0.0,0.0,0.0,0.0,False
2007-10-17,0.0,0.0,0.0,0.0,0.0,False
2007-10-18,0.0,0.0,0.0,0.0,0.0,False
2007-10-19,0.0,0.0,0.0,0.0,0.0,False
2007-10-22,0.0,0.0,0.0,0.0,0.0,False
2007-10-23,0.0,0.0,0.0,0.0,0.0,False
2007-10-24,0.0,0.0,0.0,0.0,0.0,False
2007-10-25,0.0,0.0,0.0,0.0,0.0,False
2007-10-26,0.0,0.0,0.0,0.0,0.0,False
2007-10-29,0.0,0.0,0.0,0.0,0.0,False
2007-10-30,0.0,0.0,0.0,0.0,0.0,False
2007-10-31,0.0,0.0,0.0,0.0,0.0,False
2007-11-01,0.0,0.0,0.0,0.0,0.0,False
2007-11-02,0.0,0.0,0.0,0.0,0.0,False
2007-11-05,0.0,0.0,0.0,0.0,0.0,False
2007-11-06,0.0,0.0,0.0,0.0,0.0,False
2007-11-07,0.0,0.0,0.0,0.0,0.0,False
2007-11-08,0.0,0.0,0.0,0.0,0.0,False
2007-11-09,0.0,0.0,0.0,0.0,0.0,False
2007-11-12,0.0,0.0,0.0,0.0,0.0,False
2007-11-13,0.0,0.0,0.0,0.0,0.0,False
2007-11-14,0.0,0.0,0.0,0.0,0.0,False
2007-11-15,0.0,0.0,0.0,0.0,0.0,False
2007-11-16,0.0,0.0,0.0,0.0,0.0,False
2007-11-19,0.0,0.0,0.0,0.0,0.0,False
2007-11-20,0.0,0.0,0.0,0.0,0.0,False
2007-11-21,0.0,0.0,0.0,0.0,0.0,False
2007-11-23,0.0,0.0,0.0,0.0,0.0,False
2007-11-26,0.0,0.0,0.0,0.0,0.0,False
2007-11-27,0.0,0.0,0.0,0.0,0.0,False
2007-11-28,0.0,0.0,0.0,0.0,0.0,False
2007-11-29,0.0,0.0,0.0,0.0,0.0,False
2007-11-30,0.0,0.0,0.0,0.0,0.0,False
2007-12-03,0.0,0.0,0.0,0.0,0.0,False
2007-12-04,0.0,0.0,0.0,0.0,0.0,False
2007-12-05,0.0,0.0,0.0,0.0,0.0,False
2007-12-06,0.0,0.0,0.0,0.0,0.0,False
2007-12-07,0.0,0.0,0.0,0.0,0.0,False
2007-12-10,0.0,0.0,0.0,0.0,0.0,False
2007-12-11,0.0,0.0,0.0,0.0,0.0,False
2007-12-12,0.0,0.0,0.0,0.0,0.0,False
2007-12-13,0.0,0.0,0.0,0.0,0.0,False
2007-12-14,0.0,0.0,0.0,0.0,0.0,False
2007-12-17,0.0,0.0,0.0,0.0,0.0,False
2007-12-18,0.0,0.0,0.0,0.0,0.0,False
2007-12-19,0.0,0.0,0.0,0.0,0.0,False
2007-12-20,0.0,0.0,0.0,0.0,0.0,False
2007-12-21,0.0,0.0,0.0,0.0,0.0,False
2007-12-24,0.0,0.0,0.0,0.0,0.0,False
2007-12-26,0.0,0.0,0.0,0.0,0.0,False
2007-12-27,0.0,0.0,0.0,0.0,0.0,False
2007-12-28,0.0,0.0,0.0,0.0,0.0,False
2007-12-31,0.0,0.0,0.0,0.0,0.0,False
2008-01-02,0.0,122.31417146112138,0.0,-122.31417146112138,0.0,False
2008-01-03,664.577200789203,0.0,0.4839830970219017,664.093217692181,1.5585446741859699,False
2008-01-04,194.15866404885384,0.0,0.4839830970219017,193.67468095183193,1.5585446741859699,False
2008-01-07,-524.2526508676715,0.0,0.4839830970219017,-524.7366339646934,1.5585446741859699,False
2008-01-08,877.1271160720327,0.0,0.4839830970219017,876.6431329750108,1.5585446741859699,False
2008-01-09,-407.2547236167112,0.0,0.4839830970219017,-407.7387067137331,1.5585446741859699,False
2008-01-10,68.53196969600675,0.0,0.4839830970219017,68.04798659898485,1.5585446741859699,False
2008-01-11,4.7038699530520764,0.0,0.4839830970219017,4.2198868560301745,1.5585446741859699,False
2008-01-14,764.0232764267319,0.0,0.4839830970219017,763.53929332971,1.5585446741859699,False
2008-01-15,-201.24031015218705,0.0,0.4839830970219017,-201.72429324920896,1.5585446741859699,False
2008-01-16,-1272.479258054059,0.0,0.4839830970219017,-1272.9632411510809,1.5585446741859699,False
2008-01-17,239.91825864686442,0.0,0.4839830970219017,239.4342755498425,1.5585446741859699,False
2008-01-18,296.23468453296573,0.0,0.4839830970219017,295.7507014359438,1.5585446741859699,False
2008-01-22,-309.9044215311267,0.0,0.4839830970219017,-310.3884046281486,1.5585446741859699,False
2008-01-23,-1536.5348523964917,0.0,0.4839830970219017,-1537.0188354935135,1.5585446741859699,False
2008-01-24,1011.7977055124277,0.0,0.4839830970219017,1011.3137224154058,1.5585446741859699,False
2008-01-25,591.7062815270884,0.0,0.4839830970219017,591.2222984300665,1.5585446741859699,False
2008-01-28,37.33882292690826,0.0,0.4839830970219017,36.85483982988636,1.5585446741859699,False
2008-01-29,65.87713649570405,0.0,0.4839830970219017,65.39315339868214,1.5585446741859699,False
2008-01-30,539.6825674566036,0.0,0.4839830970219017,539.1985843595817,1.5585446741859699,False
2008-01-31,46.1301180850381,0.0,0.4839830970219017,45.6461349880162,1.5585446741859699,False
2008-02-01,-748.5370565155556,46.26646675093343,0.4839830970219017,-795.2875063635109,1.5585446741859699,False
2008-02-04,97.34734153727436,0.0,0.733698017069065,96.6136435202053,1.8033492127771142,False
2008-02-05,-111.75046705114919,0.0,0.733698017069065,-112.48416506821825,1.8033492127771142,False
2008-02-06,40.01402127163246,0.0,0.733698017069065,39.28032325456339,1.8033492127771142,False
2008-02-07,-1045.8987122472984,0.0,0.733698017069065,-1046.6324102643675,1.8033492127771142,False
2008-02-08,1651.2252874984677,0.0,0.733698017069065,1650.4915894813985,1.8033492127771142,False
2008-02-11,642.3343485152826,0.0,0.733698017069065,641.6006504982136,1.8033492127771142,False
2008-02-12,-778.028329424451,0.0,0.733698017069065,-778.7620274415201,1.8033492127771142,False
2008-02-13,-587.8701663186096,0.0,0.733698017069065,-588.6038643356786,1.8033492127771142,False
2008-02-14,175.1351020178181,0.0,0.733698017069065,174.40140400074904,1.8033492127771142,False
2008-02-15,248.49792057457032,0.0,0.733698017069065,247.76422255750126,1.8033492127771142,False
2008-02-19,8.79707863105522,0.0,0.733698017069065,8.063380613986155,1.8033492127771142,False
2008-02-20,384.52468280882863,0.0,0.733698017069065,383.79098479175957,1.8033492127771142,False
2008-02-21,1137.7222140431566,0.0,0.733698017069065,1136.9885160260874,1.8033492127771142,False
2008-02-22,-155.85271328145447,0.0,0.733698017069065,-156.58641129852353,1.8033492127771142,False
2008-02-25,-538.0762992302491,0.0,0.733698017069065,-538.8099972473182,1.8033492127771142,False
2008-02-26,1247.3928292925468,0.0,0.733698017069065,1246.6591312754776,1.8033492127771142,False
2008-02-27,675.1834068545795,0.0,0.733698017069065,674.4497088375105,1.8033492127771142,False
2008-02-28,1683.6781937824421,0.0,0.733698017069065,1682.944495765373,1.8033492127771142,False
2008-02-29,481.39332104396686,0.0,0.733698017069065,480.6596230268978,1.8033492127771142,False
2008-03-03,350.9260552395457,34.220900485757795,0.733698017069065,315.97145673671884,1.8033492127771142,False
2008-03-04,-665.9819334552518,0.0,0.7378526722580682,-666.7197861275099,1.5972874371555439,False
2008-03-05,306.9840286329316,0.0,0.7378526722580682,306.24617596067355,1.5972874371555439,False
2008-03-06,858.9258826677236,0.0,0.7378526722580682,858.1880299954655,1.5972874371555439,False
2008-03-07,-269.2288445702329,0.0,0.7378526722580682,-269.96669724249097,1.5972874371555439,False
2008-03-10,594.6702897063523,0.0,0.7378526722580682,593.9324370340942,1.5972874371555439,False
2008-03-11,-1332.6073471923323,0.0,0.7378526722580682,-1333.3451998645903,1.5972874371555439,False
2008-03-12,1827.0405837975186,0.0,0.7378526722580682,1826.3027311252606,1.5972874371555439,False
2008-03-13,-155.36432474378637,0.0,0.7378526722580682,-156.10217741604444,1.5972874371555439,False
2008-03-14,587.4378072804135,0.0,0.7378526722580682,586.6999546081554,1.5972874371555439,False
2008-03-17,-415.6937212206214,0.0,0.7378526722580682,-416.43157389287944,1.5972874371555439,False
2008-03-18,-1096.2433521031126,0.0,0.7378526722580682,-1096.9812047753705,1.5972874371555439,False
2008-03-19,-514.4748927763604,0.0,0.7378526722580682,-515.2127454486185,1.5972874371555439,False
2008-03-20,-1436.0915577852074,0.0,0.7378526722580682,-1436.8294104574654,1.5972874371555439,False
2008-03-24,-1203.669128850922,0.0,0.7378526722580682,-1204.40698152318,1.5972874371555439,False
2008-03-25,1130.6696304365466,0.0,0.7378526722580682,1129.9317777642887,1.5972874371555439,False
2008-03-26,1109.0009884975343,0.0,0.7378526722580682,1108.2631358252763,1.5972874371555439,False
2008-03-27,-21.540047471602662,0.0,0.7378526722580682,-22.27790014386073,1.5972874371555439,False
2008-03-28,176.79212789180067,0.0,0.7378526722580682,176.0542752195426,1.5972874371555439,False
2008-03-31,-731.2692160812667,0.0,0.7378526722580682,-732.0070687535248,1.5972874371555439,False
2008-04-01,-2160.2100496602507,48.85600917484305,0.7378526722580682,-2209.803911507352,1.5972874371555439,False
2008-04-02,813.3620955408935,0.0,0.839019610291302,812.5230759306022,1.5365692716838169,False
2008-04-03,155.96968686330106,0.0,0.839019610291302,155.13066725300976,1.5365692716838169,False
2008-04-04,973.8079558683429,0.0,0.839019610291302,972.9689362580516,1.5365692716838169,False
2008-04-07,-179.8478599909078,0.0,0.839019610291302,-180.6868796011991,1.5365692716838169,False
2008-04-08,-137.0856264391321,0.0,0.839019610291302,-137.92464604942342,1.5365692716838169,False
2008-04-09,1115.012324402813,0.0,0.839019610291302,1114.1733047925218,1.5365692716838169,False
2008-04-10,-214.89774457958197,0.0,0.839019610291302,-215.73676418987327,1.5365692716838169,False
2008-04-11,370.64608515955996,0.0,0.839019610291302,369.80706554926866,1.5365692716838169,False
2008-04-14,-62.509787574603585,0.0,0.839019610291302,-63.34880718489489,1.5365692716838169,False
2008-04-15,-456.55752670484134,0.0,0.839019610291302,-457.39654631513264,1.5365692716838169,False
2008-04-16,-191.13712286500495,0.0,0.839019610291302,-191.97614247529626,1.5365692716838169,False
2008-04-17,-298.9050566788995,0.0,0.839019610291302,-299.7440762891908,1.5365692716838169,False
2008-04-18,-207.97411724381544,0.0,0.839019610291302,-208.81313685410674,1.5365692716838169,False
2008-04-21,134.60371503858613,0.0,0.839019610291302,133.76469542829483,1.5365692716838169,False
2008-04-22,488.0332659364963,0.0,0.839019610291302,487.194246326205,1.5365692716838169,False
2008-04-23,-532.7757906254795,0.0,0.839019610291302,-533.6148102357708,1.5365692716838169,False
2008-04-24,-1188.7007214956236,0.0,0.839019610291302,-1189.5397411059148,1.5365692716838169,False
2008-04-25,-141.68800262194497,0.0,0.839019610291302,-142.52702223223628,1.5365692716838169,False
2008-04-28,272.37452535873337,0.0,0.839019610291302,271.53550574844206,1.5365692716838169,False
2008-04-29,-424.78650261630526,0.0,0.839019610291302,-425.62552222659656,1.5365692716838169,False
2008-04-30,702.7538170377964,0.0,0.839019610291302,701.914797427505,1.5365692716838169,False
2008-05-01,-986.4070000259215,21.181349163776588,0.839019610291302,-1008.4273687999895,1.5365692716838169,False
2008-05-02,-130.64763082605404,0.0,1.2793184656603356,-131.92694929171438,1.6577572285120499,False
2008-05-05,630.9449475217399,0.0,1.2793184656603356,629.6656290560795,1.6577572285120499,False
2008-05-06,129.0573508064013,0.0,1.2793184656603356,127.77803234074096,1.6577572285120499,False
2008-05-07,226.62856332440305,0.0,1.2793184656603356,225.3492448587427,1.6577572285120499,False
2008-05-08,532.7652144809683,0.0,1.2793184656603356,531.485896015308,1.6577572285120499,False
2008-05-09,596.9863181852116,0.0,1.2793184656603356,595.7069997195513,1.6577572285120499,False
2008-05-12,-359.59046047640095,0.0,1.2793184656603356,-360.86977894206126,1.6577572285120499,False
2008-05-13,-625.7821321505124,0.0,1.2793184656603356,-627.0614506161728,1.6577572285120499,False
2008-05-14,-241.67167263145694,0.0,1.2793184656603356,-242.95099109711728,1.6577572285120499,False
2008-05-15,342.8640955094228,0.0,1.2793184656603356,341.5847770437625,1.6577572285120499,False
2008-05-16,465.100624158437,0.0,1.2793184656603356,463.82130569277666,1.6577572285120499,False
2008-05-19,10.214973660502778,0.0,1.2793184656603356,8.935655194842443,1.6577572285120499,False
2008-05-20,1049.223118451518,0.0,1.2793184656603356,1047.9437999858578,1.6577572285120499,False
2008-05-21,901.2074070458035,0.0,1.2793184656603356,899.9280885801431,1.6577572285120499,False
2008-05-22,-842.7382430077231,0.0,1.2793184656603356,-844.0175614733835,1.6577572285120499,False
2008-05-23,615.119306974159,0.0,1.2793184656603356,613.8399885084987,1.6577572285120499,False
